timestep,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,average
76,-0.05725419622963279,-0.05725419622963279,-0.08649169859991857,-0.044978640703687955,-0.07699625465981608,-0.05725419622963279,-0.056482262577079,-0.056482262577079,-0.051206552007744044,-0.031119695346045972,-0.057551995516026896
77,-0.05376851072258804,-0.05376851072258804,-0.07966913149786192,-0.04265947012654603,-0.07134974957861229,-0.05376851072258804,-0.053074255443694485,-0.053074255443694485,-0.04831473846337453,-0.029890619549996167,-0.0539337752271544
78,-0.04990035309416019,-0.04990035309416019,-0.07298638623698306,-0.03988833943282122,-0.0656118693948835,-0.04990035309416019,-0.049276918066053055,-0.049276918066053055,-0.044995586506330065,-0.02823657782501654,-0.04999736548106211
79,-0.0461054115085936,-0.0461054115085936,-0.06691397756443174,-0.03705335821647793,-0.060276684657863844,-0.0461054115085936,-0.045542559321453235,-0.045542559321453235,-0.04167507720260977,-0.02643948109438854,-0.04617599319044591
80,0.03443186556131139,0.03443186556131139,0.05246557745595504,0.027137025752984822,0.04629504280857333,0.03443186556131139,0.033974557240258774,0.033974557240258774,0.030845479644062035,0.01880778408863537,0.034679562091466234
81,-0.001336928284880634,-0.001336928284880634,-0.002589223162044685,-0.0009459426958604578,-0.0021707258935850238,-0.001336928284880634,-0.0013093043004230864,-0.0013093043004230864,-0.0011318989318699346,-0.0005989126678537238,-0.00140660968067019
82,-0.03159579326223361,-0.03159579326223361,-0.052666692347724475,-0.024073513407546043,-0.04520772623170555,-0.03159579326223361,-0.031104686868193676,-0.031104686868193676,-0.027816532854178733,-0.016164570384889165,-0.032292578874913214
83,-0.04882726258793135,-0.04882726258793135,-0.08037466847085228,-0.03737349212398633,-0.06932584523263208,-0.04882726258793135,-0.04808177349858811,-0.04808177349858811,-0.04308209174169064,-0.02523984475459462,-0.049804127708472624
84,-0.05578109198861947,-0.05578109198861947,-0.08932342970100837,-0.043132395789418077,-0.07783054724152527,-0.05578109198861947,-0.0549645021934303,-0.0549645021934303,-0.04946400407427398,-0.02947512746370584,-0.05664977846226506
85,-0.05678840395352014,-0.05678840395352014,-0.08830360854440567,-0.04441839418880311,-0.07774491175668263,-0.05678840395352014,-0.05599714421555124,-0.05599714421555124,-0.050641029342296306,-0.03076633290625863,-0.057423377703010925
86,-0.009501742466549001,-0.009501742466549001,-0.015575881122436241,-0.007265484176234516,-0.013604630944273444,-0.009501742466549001,-0.00935300054615329,-0.00935300054615329,-0.008366550303541609,-0.004985707664387107,-0.00970094827028265
87,-0.055237102641693236,-0.055237102641693236,-0.08757715737833172,-0.04288342245373966,-0.07661041620779274,-0.055237102641693236,-0.05444070667862122,-0.05444070667862122,-0.049071873731325266,-0.02947845027973972,-0.056021404133325126
88,-0.05596516483338221,-0.05596516483338221,-0.08621450872824699,-0.04396014108464685,-0.07615336914004112,-0.05596516483338221,-0.05519872687962679,-0.05519872687962679,-0.05000523920695965,-0.03063057209415876,-0.05652567785134536
89,-0.009158008204515844,-0.009158008204515844,-0.014099978130339585,-0.007183662518468914,-0.012534784538735355,-0.009158008204515844,-0.009030262785543086,-0.009030262785543086,-0.008170645165730406,-0.0050415712153545345,-0.00925651917532625
90,-0.033768951844127315,-0.033768951844127315,-0.05436175039322866,-0.026081902032059734,-0.04731178300861638,-0.033768951844127315,-0.03327011825325321,-0.03327011825325321,-0.029919111265473308,-0.017848268007386037,-0.03433699067456525
91,-0.04846878864224413,-0.04846878864224413,-0.0774423252892884,-0.037570346934111876,-0.0675384528244195,-0.04846878864224413,-0.04776353566154867,-0.04776353566154867,-0.04301897837965918,-0.025814752381503436,-0.049231829305881214
92,-0.05462970406250178,-0.05462970406250178,-0.08542804352023747,-0.04271719936493856,-0.07505265598864441,-0.05462970406250178,-0.05386407124671244,-0.05386407124671244,-0.04869463577395383,-0.029655982513233536,-0.055316577184193805
93,-0.055545565638957184,-0.055545565638957184,-0.08485922843141025,-0.04385980429462388,-0.0751414832261722,-0.055545565638957184,-0.05480008689593341,-0.05480008689593341,-0.04974687364913988,-0.030812614439753472,-0.056065687474983805
94,-0.05375124273236509,-0.05375124273236509,-0.08053683678257839,-0.042814999320684444,-0.07176933398591501,-0.05375124273236509,-0.05305782108587109,-0.05305782108587109,-0.0483424823978732,-0.030413435369365138,-0.054124645822525366
95,-0.05075947384899282,-0.05075947384899282,-0.07498995538182684,-0.040712967936517463,-0.06712355400619097,-0.05075947384899282,-0.05012505290210223,-0.05012505290210223,-0.04580190758307623,-0.029191119566626123,-0.051034803182542055
96,0.010110092440699159,0.010110092440699159,0.016563895867965472,0.007780660167478803,0.014219250616291923,0.010110092440699159,0.009960244404979335,0.009960244404979335,0.00894923815077564,0.005245288496567468,0.010300909943113546
97,-0.051587146406924744,-0.051587146406924744,-0.08075004602070845,-0.04047434720280596,-0.07088244794947918,-0.051587146406924744,-0.05086948590417262,-0.05086948590417262,-0.04603678976631154,-0.02835130883862358,-0.05229953508070482
98,-0.05070056153908409,-0.05070056153908409,-0.07732816372563733,-0.04019101623992638,-0.06847427873514389,-0.05070056153908409,-0.05002789450547973,-0.05002789450547973,-0.045476555153849296,-0.028489271935513205,-0.05121167594182818
99,-0.04834500579580436,-0.04834500579580436,-0.07241296194167857,-0.03862186130555256,-0.06450523355892279,-0.04834500579580436,-0.047726362815207035,-0.047726362815207035,-0.043527369505994895,-0.02764007554816006,-0.0487195244878136
